first,last,title,company,industry,linkedin_url,person_info,company_info,company_goals,homepage_url,total_funding,latest_round,valuation,key_investors,funding_notes
Daniel,Beerstecher,VP,MGX,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/danielbeerstecher/,"Daniel Beerstecher is a VP at MGX, the Abu Dhabi technology investment firm, based in the Abu Dhabi Emirate. His investment background includes roles as an Associate at Hg Capital and prior experience at Sun Capital and Morgan Stanley, and he is a graduate of ESADE Business & Law School.","MGX is an Abu Dhabi-based global technology investment company launched in 2024 by sovereign wealth fund Mubadala and AI firm G42, chaired by Sheikh Tahnoon bin Zayed Al Nahyan. Built specifically for the AI era, it invests across the entire AI value chain - AI infrastructure (data centers and connectivity), semiconductors, and AI core technologies, models and applications - and has positioned itself less like a traditional Gulf sovereign fund and more like a global asset manager that raises and invests outside capital.","MGX is deploying capital at massive scale (it closed a fund of nearly $50B in 2026 and targets $100B+ in AUM), having taken stakes in OpenAI, Anthropic and xAI, co-led major AI rounds, and backed infrastructure vehicles alongside BlackRock, Microsoft and Nvidia (including a $30B data-center fund) plus projects like Europe's largest AI campus in France. Its goal is to accelerate the development and adoption of AI and advanced technologies globally while cementing Abu Dhabi as a leading hub, serving as a partner/co-investor to frontier AI model companies, chipmakers and data-center operators worldwide.",https://www.mgx.ae/en,Government body / sovereign-backed fund (~$50B fund raised; targeting $100B AUM),"~$50B fund close, Jun 2026",,"Mubadala, G42 (founding partners); regional sovereign wealth funds, global pension/institutional investors","Abu Dhabi state-owned AI investment firm (est. 2024); an investor itself - backs OpenAI, Anthropic, xAI."
Russ,Vetrano,Co-Founder,AIxBlock,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/russvetrano/,"Russ Vetrano is an accomplished global sales executive (Clarkson University, Computer Science/Math) based in the Raleigh-Durham area, associated with AIxBlock as a co-founder/go-to-market leader. His career spans enterprise sales and revenue leadership roles at AI and GPU-compute companies including Exabits.ai, ElectrifAi and Defined.ai, where he focused on AI data, models and GPU compute strategy. He is a frequent voice on GPU compute and AI infrastructure at industry events such as SuperAI.","AIxBlock (aixblock.io) is an enterprise AI training-data company that supplies voice, audio and text training data at scale for speech AI and large language models, across 100+ languages with a global crowd of professionals. The company has 7+ years of experience delivering large-scale data projects for Fortune 100 firms and unicorns such as Oracle, AWS, Apple, Uber and Uniphore, and is backed by the EU Innovation Program (ISO 27001 / SOC 2). It also operates a self-hosted AI development platform so clients can connect their own storage and keep full data sovereignty.","AIxBlock is building end-to-end training-data services (speech collection/transcription, sound/environment audio, RLHF and LLM fine-tuning datasets, and an off-the-shelf call-center audio library) plus a self-hosted platform with a data engine, training and GPU marketplace. It is working toward being a privacy-first, sovereignty-focused data infrastructure partner for regulated sectors like banking, healthcare and government, differentiating on never retaining client data. Target customers are foundation-model labs and enterprise AI/product teams needing multilingual, production-grade data.",https://aixblock.io/,~$1.5M-$2.25M (EUR1.5M EU grant secured),"Grant, EUR1.5M (~$1.6M), Aug 4-5 2025",Not disclosed,European Union (Smart&Start Italia / Invitalia grant),"Delaware-based decentralized AI startup; EUR1.5M EU grant secured plus up to EUR61.5M pre-approved (non-dilutive, under review)."
Saad,EL BABIDI,Head of AI research,SPIE,Artificial Intelligence & Machine Learning,https://fr.linkedin.com/in/saad-el-babidi,"Saad EL BABIDI is a France-based engineer/consultant who graduated from Centrale Lille (also Ecole polytechnique de Bruxelles and Vrije Universiteit Brussel) with a multidisciplinary background spanning strategy consulting (McKinsey), supply chain, urban mobility (MOBI Electromobility Research Centre), construction and AI (Danone). He works at the intersection of AI, data and strategy, with a strong interest in transport systems and applied AI. (Note: his public profile centers on mobility/consulting/research; his specific 'Head of AI research' role at SPIE could not be independently confirmed from public sources.)","SPIE (spie.com) is the independent European leader in multi-technical services in the fields of energy and communications, with around 55,000 employees. The group designs, builds, operates and maintains energy-efficient, environmentally friendly facilities, and supports customers through the energy, digital and industrial transitions. It operates across four strategic markets: Smart City, E-fficient Buildings, Industry Services and Energies.","SPIE is working to enable a post-carbon society, positioning itself as a key player in decarbonisation, the sustainable transformation of cities and territories, the digitalisation of services and the shift to Industry 4.0. It is increasingly deploying generative AI internally (e.g. an 'AI for all' tool at SPIE ICS) to support engineering and operations. Its customers are industrial, public-sector and infrastructure operators across Europe needing electrical, mechanical, ICT, facility-management and transmission/distribution services.",https://www.spie.com/en,Public company,,,Bpifrance (Lac1 fund holds ~5%); historically PAI Partners,"SPIE SA is publicly listed (Euronext Paris); European leader in multi-technical services with ~EUR 8.7B revenue (2023), not venture-funded."
Alex,Presani,Head of Techology and R&D,AgorAI,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/epresani/,"Alex Presani is a technology leader who joined AgorAI (the Trieste-based AgorAI Innovation Hub) as Head of Technology and R&D, returning to the city where he grew up. A proud American, he spent roughly twenty years working abroad across Amsterdam, Geneva and New York, and lectures on AI as a geostrategic choice (e.g. at Politecnico di Milano's Executive Master in AI). He frames AI around concrete applications, ecosystems over silos, and ethics-by-design.","AgorAI Innovation Hub S.p.A. (agorai.it) is a Trieste, Italy-based applied- and basic-research center for data science and advanced AI, launched in 2025 and housed in the historic Palazzo Carciotti. It is a public-private ecosystem backed by partners including the Friuli Venezia Giulia region, Generali, Banca Generali, illycaffè and Fincantieri, in collaboration with Goldman Sachs, Deloitte, Google Cloud and research institutions such as SISSA, ICTP, IIT, MIB Trieste and the universities of Trieste and Udine. Its tagline is 'Where Innovation Serves Humanity'.","AgorAI aims to become a leading European hub for applied and frontier AI research, training and startup development - a 'European path to AI' focused on real-world, production-grade systems for industrial and regulated environments with a human-centered, ethics-by-design approach. Its research focuses on health and well-being, regenerative agriculture and food systems, mobility and transport, and finance and capital markets, with Google Cloud providing infrastructure and early access to models like Gemini. It is building a founding technical team (AI Architect, Physical AI and Trustworthy AI research engineers) to serve partner industries and the broader regional innovation economy.",https://www.agorai.it,~$53K (disclosed); pre-seed,"Pre-seed, Aug/Sep 2019",,"Fort Schuyler Ventures, Innova Capital Partners, AI Capital","NY-based AI/data-marketplace startup (founded 2017, CEO Josh Sutton); minimal disclosed funding. Not to be confused with real-estate 'Agora' ($64M raised)."
Srinath Reddy,Ganta,Founder & CEO,Deepannotate.ai,Artificial Intelligence & Machine Learning,https://www.linkedin.com/in/srinathreddy-g,"Srinath Reddy Ganta (Ganta Srinath Reddy) is a Hyderabad-based founder and CEO who built DeepAnnotate.ai, an AI data-annotation startup incubated at T-Hub. He holds a Master of Engineering in Computer Science from University College of Engineering, Osmania, and has a background spanning innovation and public-systems advisory roles (Centre for Innovations in Public Systems, T-Hub Kickstart) and education-focused ventures (founder of 'TheAISCHOOL', which he presented at AIJ 2025 in Moscow). He is an active member of Hyderabad's startup and AI-skilling ecosystem.","DeepAnnotate.ai (deepannotate.ai), based at T-Hub 2.0 in Hyderabad, is an enterprise AI data-annotation and human-data generation company positioned as 'the data partner built for serious AI.' It provides diversified human intelligence for multimodal and physical AI systems, with 50k+ human resources, 24/7 operations across three global sites, and a stated 99.8% QA accuracy. It is trusted by teams from Google AI and Uber AI and offers a guaranteed 3-day/5-business-day pilot.","DeepAnnotate.ai is building human data and evaluation pipelines across modalities - emotional voice data, physical/egocentric and teleoperation data, image and text (NER, sentiment, intent, document parsing), video annotation, 3D/LiDAR point clouds, and RLHF/LLM alignment - delivered via a structured brief-to-production pipeline. The company is working toward helping teams ship better agentic, multimodal and frontier AI faster with precision-labeled training data at scale. Its customers are Fortune 500 enterprises and AI startups building computer vision, autonomous systems, speech and LLM/agentic models.",https://deepannotate.ai,Unknown,,,,"No funding data found for Deepannotate.ai specifically; searches surfaced unrelated AI-data firms (SuperAnnotate, Deep Cognition), suggesting it is likely early-stage/unfunded or undisclosed."
Jennifer,Vannoy,NeoCloud Global Client Executive,NetApp,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/jennifer-v-b631404/,"Jennifer Vannoy is a Global Client Executive for NeoCloud at NetApp, based in the Dallas-Fort Worth metroplex (educated at University of Missouri-Saint Louis). She manages and grows top-tier enterprise accounts, focusing on AI, cloud and enterprise data-infrastructure initiatives and building strong customer and partner relationships. She holds DeepLearning.AI certification and MEDDICC & Challenger sales certifications.","NetApp (netapp.com) is an intelligent data-infrastructure company and, by its own description, the first name in data storage for over 30 years. It is the only enterprise-grade storage service embedded into the major public clouds, offering unified data storage across any data, workload and environment (on-premises systems like AFF/AFX/FAS, object/block storage, and cloud storage on AWS, Azure and Google Cloud). It pairs storage with data services for AI, security/cyber resilience, cloud workload management, governance and mobility.","NetApp's strategy centers on 'Intelligent Data Infrastructure' - an enterprise-grade data platform built to fuel AI factories and move customers out of AI proof-of-concept purgatory, with products like NetApp AFX (disaggregated storage for enterprise AI) and the AI Data Engine (real-time curation, vectorization and semantic search). It is working toward simplifying complex infrastructure, optimizing cloud, accelerating AI outcomes and fortifying security across hybrid/multi-cloud. Its NeoCloud focus serves AI/cloud service providers and large enterprises (customers include NVIDIA, DreamWorks, Porsche Motorsport and S&P Global) needing scalable data platforms for AI.",https://www.netapp.com/,Public company,,"Public (NASDAQ: NTAP, S&P 500)",,"Publicly traded data-storage company (NASDAQ: NTAP); founded 1992, multi-billion-dollar revenue."
Anton,Vnukov,Head of Digital Growth,SeoProfy,"Media, Press & Content",https://www.linkedin.com/in/antonvnukov/,"Anton Vnukov is Head of Digital Growth at SeoProfy (since April 2025), where he owns the new-business pipeline across Europe, the US and Canada and leads the sales team, having rebuilt qualification and outbound systems (Pipedrive, Clay, n8n, LinkedIn/HeyReach). He brings 25+ years of B2B sales leadership, previously serving as Head of Sales Europe at BAS-IP and Regional Sales Director at Ajax Systems, plus fractional GTM/revenue advisory work for tech and security startups.","SeoProfy is a data-driven, ROI-focused SEO and digital marketing agency founded in 2012 by Victor Karpenko, headquartered in Orlando, Florida with roots in Kyiv, Ukraine. It is built around revenue (not vanity metrics), running a four-step process of niche research, technical and content SEO, link building and weekly sprint reviews, backed by 100+ specialists and proprietary tools like SearchAnalytics.ai.","SeoProfy is building organic-search and AI-search (GEO/LLM-citation) programs that turn traffic into pipeline and revenue, expanding beyond classic SEO into AI SEO services, digital PR, CRO and content. It serves B2B SaaS, eCommerce, legal, healthcare, enterprise and iGaming clients across 45+ countries and 12 languages, positioning to help brands stay visible as discovery shifts to ChatGPT, Perplexity and AI Overviews.",https://seoprofy.com/,Not disclosed,,,,"Bootstrapped SEO/digital marketing agency (founded 2012, Miami); ~$14.3M est. annual revenue, no disclosed VC funding."
Rene,van Oosten,"Regional Sales Director, EMEA",SambaNova,Cloud Infrastructure & Data Centers,https://www.linkedin.com/in/rvoosten19690211,"Rene van Oosten is Regional Sales Director Europe at SambaNova (since March 2026), selling fast AI inference infrastructure across EMEA, and is also co-founder of GTM advisory firm Van Oosten Group in Malaga. He has 30+ years of enterprise IT sales and sales-leadership experience, most recently as Regional Director Europe at AI-inference chipmaker Groq and EMEA director for cyber-risk firm Squalify, with a track record of strong revenue growth across startups and large IT companies.","SambaNova Systems is a full-stack AI platform and custom-silicon company founded in 2017 in Palo Alto, building purpose-built AI chips on a Reconfigurable Dataflow Unit (RDU) architecture as an alternative to GPUs. Its homepage positions it around premium AI inference, offering the SN50 fifth-generation RDU chip, SambaRack systems, the SambaStack chips-to-model platform and SambaCloud for fast inference on open-source models like DeepSeek, Llama, gpt-oss and MiniMax.","SambaNova is building the fastest, most energy-efficient inference stack for agentic AI, maximizing tokens-per-watt and enabling multiple frontier-scale models to run on a single node, integrated into existing data centers. It targets enterprises, government and sovereign-AI data center partners worldwide (Australia, Europe, UK), and is pushing disaggregated GPU+RDU inference for AI agents while pursuing premium-inference deployments.",https://sambanova.ai/,>$1.1B (over $1B as of Series D),"Series D, $676M, April 2021",>$5B (post Series D),"SoftBank Vision Fund 2, Temasek, GIC, BlackRock, Intel Capital, GV, Walden International, WRVI",AI chip/systems startup; Series D made it the best-funded AI systems startup at the time.
Jong Hae,Choi,Data Center Development,Incheon International Airport Corporation,Government & Public Sector,https://www.linkedin.com/in/nangli8354,"Jong Hae Choi, Ph.D. works in data center / business development at Incheon International Airport Corporation (IIAC) and has helped lead the airport's Airport AI Alliance (AAA) engagement, including hosting the AAA Leadership Forum in Incheon (June 2026). He also serves as an adjunct professor teaching Air Freight Logistics at Inha University's Graduate School of Logistics, and is active in air-cargo and aviation-AI circles, having published research on airport commercial revenue and big-data-driven gate allocation.","Incheon International Airport Corporation (IIAC) is a South Korean government-owned enterprise founded in 1999 that constructs, manages, operates and maintains Incheon International Airport (ICN), the primary gateway for the Seoul capital area and one of the world's busiest airports. Beyond running the airport, it develops surrounding areas and provides airport construction/operation consulting and overseas airport projects.","IIAC is expanding hub capacity (the Phase 4 expansion, record passenger throughput) while pursuing international growth as an airport investor and operator across projects in Poland (CPK), Indonesia, Kuwait and beyond. It is investing heavily in smart-airport and AI-driven innovation, including data center development and Airport AI Alliance membership, serving passengers, airlines, cargo operators and global airport partners.",https://www.airport.kr/,Government body,,,,State-owned South Korean government agency (founded 1999) operating Incheon International Airport; not venture-funded.
Sajan,Khosa,Founder,Liquid Energy,Cloud Infrastructure & Data Centers,,"Sajan Khosa is a founder/operator of Liquid Energy, the AI data center company (listed as Chief Operating Officer on the company's own team page, alongside CEO Sid Ravikumar and President Arsh Sekhon). He helps lead the Kitchener, Ontario-based startup's compute operations and go-to-market for its modular, liquid- and air-cooled AI infrastructure.","Liquid Energy is a US- and Canada-based data center operator (founded 2023, headquartered in Kitchener, Ontario) that develops turnkey green data centers with advanced AI infrastructure. Its homepage frames it as building 'the gigafactory for AI compute,' using a proprietary thermal/cooling stack, factory-built modular MW compute blocks and grid-ready siting beside solar, wind and natural-gas power to deploy high-density GPU clusters in weeks rather than years.","Liquid Energy is building rapidly deployable, infinitely scalable, low-cost AI compute, claiming up to 85% lower cooling costs, zero water consumption and ~60% lower data center build-out capex via its proprietary thermal management. It targets AI developers, hyperscale operators and enterprises needing GPU capacity, distributing via direct commitments, brokers and compute marketplaces with SLA-backed 24/7 operations.",https://www.liquidenergy.world/,Not disclosed,,,"Velocity Incubator, F4 Fund (early backers)","Cleantech/AI-compute startup (Toronto/Kitchener & SF, founded late 2023) building modular liquid-cooled GPU datacenters; no funding amount disclosed. Many unrelated 'Liquid Energy' entities exist (LNG, pipelines)."
Meredith,Maines,Chief Marketing Officer,TRIEDGE INVESTMENTS,Venture Capital & Private Equity,,"Meredith Maines is listed as Chief Marketing Officer at TRIEDGE Investments. Note: public sources do not confirm this specific role and TRIEDGE's own team page does not list a CMO by this name; the most prominent public Meredith (Kendall) Maines is a Stanford-educated marketing/communications leader (ex-Hulu, ex-Google, former first Marketing Partner at Lightspeed Venture Partners, later Chief Communications Officer for the Duke and Duchess of Sussex/Archewell), so the LinkedIn match is left blank to avoid misattribution.","TRIEDGE Investments is a New York City-based single-family office founded in 2024 by CEO Simcha Hyman (who previously led the Portopiccolo Group), with offices in New York and Tel Aviv and roughly 38 employees. Per its homepage, it is focused on building enduring value across healthcare, financial services, cybersecurity, defense technology and beyond, taking a multi-strategy approach spanning private equity, venture capital, real estate and company incubation.","TRIEDGE positions itself as both investor and builder, aiming to be a leading value investor in private healthcare and technology-enabled platforms, recently leading a $52M seed round in healthcare-AI startup Arbiter and a $50M round in private-markets startup Hypha. It partners with founders across stages and verticals, and pairs commercial investing with impact/philanthropy focused on mental health, education, and combating poverty and antisemitism.",https://www.triedgeinvestments.com/,Not disclosed,,,,Multi-strategy family office (founded 2024 by Simcha Hyman; NYC & Tel Aviv); it deploys capital (e.g. Arbiter's $52M seed) rather than raising it.
