company,tier,amount_usd,total_funding,latest_round,key_investors,people,cohorts,company_info,homepage
Ecosummit GmbH,Investor,200000000,€200M,"Fund, €200M, 2027","SET Ventures, EDF Pulse Ventures, Future Energy Ventures, Sparta Capital, Energy Impact Partners, BayWa r.e. Energy Ventures",1,registrants,"Ecosummit GmbH is an investment firm and event organizer based in Berlin, Germany, focusing on accelerating smart green startups in energy, mobility, buildings, industry, robotics, deep tech, climate tech, and AI. They organize curated, invitation-only premium conferences that enable fundraising, investing, collaboration, open innovation, corporate venturing, and M&A.",https://ecosummit.net
Rosberg Ventures,Investor,200000000,Over $200 million in assets under management,"Closed $100 million Fund III in January 2026, oversubscribed with capped allocations",Not publicly disclosed; investors include ultra-high-net-worth German and European families with corporate interests,1,speakers,"Rosberg Ventures is a Monaco-based venture capital firm founded by Nico Rosberg. It operates primarily as a fund-of-funds investing in top-tier global VC funds and also makes direct co-investments in promising startups. The firm bridges European ultra-high-net-worth families and corporates with leading global innovation, focusing on sectors like AI, software, blockchain, climate tech, and productivity.",https://rosberg.ventures
Third Bridge,Investor,200000000,"Third Bridge has raised over $200 million in total funding, including a significant private equity round in January 2021. Key investors include Astorg, IK Partners, WENVEST Capital, Beringea, and Permira Credit.","Private Equity round on January 14, 2021","Astorg, IK Partners, WENVEST Capital, Beringea, Permira Credit",2,registrants,"Third Bridge is a global investment research firm founded in 2007 that provides expert network and market intelligence services primarily to private equity firms, hedge funds, mutual funds, and management consulting firms. It operates globally with over 1,500 employees across 12 offices on four continents, offering expert calls, surveys, and a proprietary research library to support investment decisions.",https://www.thirdbridge.com/en-us
Arbor Ventures,Investor,193000000,Unknown,"Fintech Fund raised in September 2022, $193 million","B-FLEXION, Chris Mathias, Tokio Marine Asia",1,registrants,"Arbor Ventures is a global venture capital firm focused on the fintech sector, partnering with extraordinary founders to shape the future of financial technology. Founded in 2013, the firm operates globally with offices in Singapore, Hong Kong, Shanghai, Tokyo, and Tel Aviv.",https://www.arborventures.com/
Alstin Capital,Investor,175000000,"€175 million (Alstin III fund, closed in late 2024)","Alstin III fund, €175 million, closed in late 2024","Foundations, banks, insurance companies, family offices, high-net-worth individuals",1,registrants,"Alstin Capital is a Munich-based early-stage venture capital fund focused on investing in fast-growing B2B technology companies, primarily in the Seed and Series A stages. The firm supports founders with capital, expert know-how, and industry contacts to help scale their businesses.",https://alstin.capital
Capriola.se,Investor,157000000,$157M+,"Second Global South Fund, $100 million, 2023","Vulcan Capital, Omidyar Network, Ford Foundation, Resonance Impact Fund, Gates Ventures, OIP Investment Trust",1,registrants,"Capriola.se is not found in the provided information. The search results contain unrelated entities such as a consulting company (Geisli), a music ensemble (La Capriola), a hedge fund (Capriole), a saddle-making company (J.M. Capriola), and a venture capital firm (Capria Ventures).",
Exponential Partners,Investor,155000000,$155M,$155 million fund currently investing (date not specified),"Ray Muzyka, Content Bloom",2,registrants,"Exponential Partners is a venture capital firm that specializes in information technology, healthcare, and artificial intelligence. It invests between $2 - $30 million in Pre-Series A and follow-on rounds in sectors where it has deep experience: Mobility and Modern Compute Infrastructure.",https://exponential.partners/
6 Degrees Capital,Investor,154000000,Unknown,"Third Fund (6DC III), €154 million, closed in November/December 2025","European fund-of-funds, sovereign wealth funds, financial institutions, family offices, high-net-worth individuals",1,registrants,"6 Degrees Capital is an early-stage venture capital firm based in London and Antwerp that invests in high-growth startups from Seed to Series B. The firm manages over €250 million in assets and focuses primarily on the fintech, SaaS, enterprise software, and AI sectors across Europe and beyond.",https://6degrees.vc
33N Ventures,Investor,150000000,"Over €100 million raised, with an initial €20 million and a target of €150 million for its first fund.","Recent funding includes €25 million from the European Investment Fund, with additional investments from Luxembourg Future Fund (LFF2), Criteria Venture Tech, Alantra, Mutua Madrileña, and Caixa Capital as of 2025.","European Investment Fund (EIF), Luxembourg Future Fund (LFF2), Criteria Venture Tech, Alantra, Mutua Madrileña, Caixa Capital",1,registrants,"33N Ventures is a European venture capital firm specializing in B2B cybersecurity and infrastructure software technologies. Founded in 2022 and based in Porto, Portugal, it invests globally across Europe, Israel, and the US, focusing on early growth-stage companies. The firm leverages deep domain expertise and a network of CISOs, CTOs, and tech executives to support portfolio companies' growth and market access.",https://33n.vc
Asymmetry Capital,Investor,137000000,$137 million (second fund raised in 2025),"Series A, $137 million raised in 2025","SR One, Viking Global Investors, Marshall Wace, Invus",1,registrants,"Asymmetric Capital Partners is a venture capital firm founded in 2021 by Rob Biederman, investing in pre-seed and seed stage companies with a focus on B2B SaaS, marketplaces, digital health, and fintech.",https://www.acp.vc/
"Braintrust Capital, LLC",Investor,121000000,$121M,"Series B, $80M, Feb 17, 2026","Iconiq Capital, Andreessen Horowitz, Greylock Partners, Elad Gil, Basecase Capital",1,registrants,"Braintrust Capital, LLC is an independent, fee-only financial advisory firm providing investment management, estate planning, financial planning, and college funding services. The firm aims to serve clients with a loving, caring, and positive attitude while helping them accomplish their financial goals.",https://braintrustcapital.com
Red River West,Investor,116700000,$116.7M,"RRW II Growth, classified under Article 8 of the SFDR regulation",Groupe Artémis,3,registrants,"Red River West is a cross-border, hands-on venture capital firm that supports outstanding European technology startups in their growth and expansion into the United States. It provides significant financial firepower, typically investing between €10 million and €50 million per company, alongside game-changing hands-on support.",https://www.redriverwest.com/
The London Fund,Investor,115000000,$115M,"Series C, $33.6M average round size, recent as of 2025","BlackRock, Corner Ventures, Menlo Ventures, Aarin Capital, REV, Alpha Praetorian Capital, Acmeinnovation",2,registrants,"The London Fund, founded in 2003, invests in and advises IP-rich high-growth companies focusing on B2C and emerging technologies, especially transformative technologies. They partner with entrepreneurs of companies with $1M to $100M in revenue, providing growth capital and strategic support including mergers, acquisitions, financing, IP strategy, and IPOs.",https://www.thelondonfund.com/
Omnes,Investor,112000000,€112 million (Omnes Real Tech 2 fund),"First close of Omnes Real Tech 2 fund, €112 million, July 2025","Bpifrance, Andera Partners, Seventure Partners",1,registrants,"Omnes Capital is a leading private equity firm dedicated to energy transition and innovation, managing over €4.8 billion in assets under management. It operates in venture capital, buyout & growth capital, private debt, renewable energy, co-investment, and secondary funds of funds.",https://www.omnescapital.com
E12 Ventures,Investor,105000000,$105 million,Participated in $35 million Series A round in Archetype AI in November 2025; also invested in $20 million Series A round in TELO Trucks and Series A in Neura Health in 2025,"Mitsui & Co., Ltd., The Norinchukin Bank, Mitsubishi Pencil Company, Nitto Denko Corporation",1,registrants,"E12 Ventures is a US-based early-stage venture capital firm formed in 2022 as a joint venture between Mitsui & Co. Global Investment, Inc. and Morado Ventures, LLC. It manages a $105 million fund investing in early-stage startups tackling challenges across global industries, primarily in the United States. The firm focuses on sectors such as Climate Tech, AgTech, FoodTech, HealthTech, FinTech, and Logistics/Supply Chain, emphasizing emerging technologies like AI, Deep Learning, IoT, and Robotics.",https://e12.ventures
Merantix Capital,Investor,103000000,€103 million,Closed €103 million early-stage AI fund in June 2026,"Union Investment, Jungheinrich, KPMG Germany, Robert Wood Johnson Foundation, W.K. Kellogg Foundation",2,registrants,"Merantix Capital is a Berlin-based venture capital firm and part of the Merantix group, focused on investing in early-stage AI-native companies across Europe. Founded in 2016, it combines venture capital with a venture studio model and an extensive ecosystem including the Merantix AI Campus in Berlin and other hubs.",https://www.merantix-capital.com/
Gnosis App,Investor,100000000,$100M,"Series C - $100M on Jul 12, 2022",1kx,1,registrants,"Gnosis is an Ethereum-based digital asset management company that provides crypto asset management, multi-signature, wallet-based crypto transactions, and more through an app-based platform available on iOS and Android.",https://www.gnosis.io
Supernova Invest,Investor,100000000,Unknown,"Supernova Innovation 3 seed fund, €100 million, successful closing announced recently","CEA, Crédit Agricole, VINCI, Michelin, bioMérieux, French National Seed Fund #2 (FNA2)",1,registrants,Supernova Invest is a leading European multi-stage venture capital firm specialized in deeptech and disruptive technology ventures. It manages approximately €800 million in assets under management and was founded in 2017 through the partnership of the CEA investment team with Amundi and Crédit Agricole.,https://supernovainvest.com/
TIN Capital,Investor,100000000,Over €80 million,"European Cyber Tech Fund V, a €100 million fund launched in 2023, with a final closing of over €80 million as of late 2025, supported by investors including the European Investment Fund (EIF), Invest-NL, InnovationQuarter, ROM Regio Utrecht, family offices, and private investors.","European Investment Fund (EIF), Invest-NL, InnovationQuarter, ROM Regio Utrecht, family offices, private investors",1,registrants,"TIN Capital is a Dutch venture capital firm founded in 1998, specializing exclusively in cybersecurity investments. It is the only investment firm in the Benelux focused on cybersecurity and has a gender-diverse team including exited startup founders with technical and financial backgrounds. The firm supports cybersecurity and IoT security startups and scale-ups across Europe.",https://www.tincapital.vc/
Next Gear Ventures,Investor,76000000,$76M,Fund NGV II - $47M - Mar 2022,,2,registrants,"Next Gear Ventures is an early-stage venture capital fund based in Tel Aviv, Israel, focused on investing in smart mobility, energy, and sustainability sectors. The firm primarily targets Israeli startups but also supports companies in Europe and the U.S.",https://www.nextgear.fund/
ALTO SPECIAL SITUATIONS,Investor,70300000,$70.3M,"Series B, $40M, Jan 5, 2022","Advance Venture Partners, Unusual Ventures, Acrew Capital, Alpha Edison, Foundation Capital, Gaingels, Coinbase Ventures",1,registrants,"ALTO SPECIAL SITUATIONS is a Luxembourg-based alternative investment fund manager (AIFM) registered under the AIFMD Directive, acting as the registered alternative investment fund manager for Alto Special Situations Fund SCSp. The company operates in the undetermined sector (NACE code 9999) and is headquartered at 17 Boulevard F.W. Raiffeisen, Luxembourg.",
KPN Ventures,Investor,70000000,70 million euros fund size,Led $3.79M Series A round of BOX ID with participation from Bayern Kapital and Wille Finance,"Bayern Kapital, Wille Finance, Telefonica, European Union, LG Technology Ventures, and others",1,registrants,"KPN Ventures is the corporate venture capital arm of KPN, a leading telecommunications and IT service provider in the Netherlands. Founded in 2015 and based in Rotterdam, it invests in innovative technology companies, providing access to capital, expertise, network, and customer channels.",https://www.kpnventures.com/
Walvis,Investor,70000000,More than €70 million total assets under management,Walvis Fund III invests €1.5 to €5 million in early growth rounds; no specific latest round amount disclosed,"John Fentener van Vlissingen, C4 Ventures, Aegon, InnovationQuarter",1,registrants,"Walvis is a Dutch venture capital firm founded in 2012 that invests in seed, early, and growth-stage Dutch Internet technology startups with global ambitions. It focuses on sectors such as e-commerce, enterprise software, cloud services, financial technology, digital health, and Internet of Things, serving more than 100 enterprise customers across Europe, especially in regulated industries with stringent security requirements.",https://walvis.com/
Pitchdrive,Investor,60000000,€60 million,"Closed Fund IV at €60 million in June 2026, fully privately backed by entrepreneurs and family offices, with investment tickets ranging from €250K to €2M.","Entrepreneurs and family offices, including notable founders such as Jonas Dhaenens (team.blue), Boris Bogaert, Wim Derkinderen, Koen Christiaens, Lorenz Bogaert, Toon Coppens, and Luc Verelst.",1,registrants,"Pitchdrive is an Antwerp, Belgium-based early-stage venture capital firm founded in 2020 by experienced tech entrepreneurs. It focuses on pre-seed and seed investments in European startups, providing not only capital but also hands-on mentorship and operational support from seasoned entrepreneurs. The firm invests primarily in B2B SaaS, marketplaces, e-commerce linked to recurring revenue, and software-driven hardware sectors.",https://www.pitchdrive.com
norrsken evolve,Investor,57000000,€57 million,First close of inaugural fund at €57 million in August 2025,"Saminvest, European Investment Fund, SmartCap Green Fund, Skaala, Taavet Hinrikus, Sten Tamkivi",1,registrants,"Norrsken Evolve is a Stockholm-based pre-seed venture capital fund and the formal evolution of the Norrsken Accelerator. It provides early-stage capital, structured programming, and an in-person sprint to help mission-driven startups scale.",https://www.norrskenevolve.vc/
Web Summit,Investor,40000000,$40M,"Two $20M funds: Web Summit Ventures Seed and Web Summit Ventures Growth, announced in 2022","Paddy Cosgrave, Chris Murphy",3,registrants,"Web Summit is an annual technology conference held in Lisbon, Portugal, founded in 2009. It is one of the largest and most influential technology events globally, attracting tens of thousands of attendees including tech industry leaders, startups, investors, and policymakers. The conference covers topics such as internet technology, emerging technologies, marketing, and venture capitalism.",https://websummit.com/
Mozilla Ventures,Investor,38100000,"Initial $35 million fund established in 2022; participates in portfolio company funding rounds (e.g., Union.ai raised $38.1 million Series A with Mozilla Ventures participation).","Mozilla Ventures participated in Union.ai's $38.1 million Series A funding round in February 2026, led by NEA with other investors including Nava Ventures.","Abstract Ventures, BoxGroup, Collaborative Fund, Mozilla Ventures, NEA, Nava Ventures",2,registrants,"Mozilla Ventures is an impact venture fund from Mozilla that invests in early-stage startups whose products or technologies advance the values in the Mozilla Manifesto. It supports companies pushing the internet and tech industry in a better direction, focusing on privacy, inclusion, transparency, and human dignity.",https://mozilla.vc/
Cleo Ventures,Investor,34000000,€30M,"Fund II, €30M (or $34M), May 2026",Otium Capital,2,registrants,"Cleo Ventures is a Paris-based venture capital firm founded in 2025 that invests exclusively in AI-native companies at pre-seed and seed stages across Europe. The firm focuses on AI applications, AI infrastructure, frontier labs, and AI-adjacent deep tech, supporting early-stage startups often before product or team exists.",https://www.cleo-ventures.com/
FirsthandVC,Investor,32600000,$32.6M total funding raised over 2 rounds,"Series A round on March 4, 2025","General Catalyst, Foundation Capital, Tishman Speyer, Sure Ventures",2,registrants,"FirsthandVC is an inception-stage venture capital firm based in New York City, founded by Salesforce alumni. It invests in experienced founders building autonomous AI systems for B2B applications, focusing on agentic AI that automates complex enterprise workflows across industries such as legal, healthcare, procurement, sales, and enterprise software.",https://firsthand.vc/
Autopilot,Investor,30000000,$30.0M,Raised $30.0M across 4 funding rounds,"Craft Ventures, Nomad Ventures, Balaji Ventures, Next Fund, TTV Capital, Freestyle Capital, Greylock, Precursor Ventures, Scribble Ventures, Social Capital, Blackbird Ventures, Scott Irwin, Salesforce Ventures, Southern Cross Venture Partners, Tim Draper, Garnett Ventures",1,registrants,Autopilot is a financial technology company that provides an automated copy-trading mobile application allowing retail investors to replicate the portfolios of high-profile individuals and hedge funds. It integrates with major brokerages to execute trades automatically and serves a large user base with millions of downloads and significant assets under management.,https://joinautopilot.com
Omega Capital,Investor,30000000,"$30 million in commitments for inaugural fund (Omega Capital Fund I, L.P.); Fund II held a first closing in July 2024.","Omega Capital Fund II, L.P. first closing in July 2024.",Prominent entrepreneurs and family offices in the Oklahoma region.,1,registrants,"Omega Capital is a private equity firm headquartered in Tulsa, Oklahoma. It focuses on acquiring or investing in profitable lower middle market companies across various industry sectors in Oklahoma and surrounding states. The firm is backed by prominent entrepreneurs and family offices and has principals with deep investing experience.",https://www.omegacapital.com/
Next Gen Partners,Investor,22000000,$22 million,"First fund, $22 million, March 2017",83 LPs including venture partners such as Susan Tynan and Ajay Kori,1,registrants,NextGen Partners is a venture capital firm focused on investing in innovative AI-powered technologies and early-stage startups with transformative potential. It was founded in 2001 as a group of 5 VC associates and has a membership base of over 500 pre-partner professionals representing over 200 firms in California.,
Inception Fund,Investor,21000000,€21 million (first fund),€21 million micro fund launched in 2025,"Sebastian Knutsson (King), Taavet Hinrikus, Sten Tamkivi, founders from Lovable, Legora, Sana, Tandem Health, Aris Machina",1,registrants,"Inception Fund is a pre-seed venture capital fund based in Stockholm, Sweden, investing in early-stage B2B software teams and artificial intelligence startups, with a focus on technical founders from the New Nordic region.",https://inceptionfund.vc/
Dealroom.co,Investor,16800000,$16.8 million,"Series A round on January 28, 2026, led by Indico Capital Partners with participation from Rabobank, Beringea, Shoe Investments, and Knight Capital","Indico Capital Partners, Rabobank, Beringea, Shoe Investments, Knight Capital",1,registrants,"Dealroom.co is a global intelligence platform founded in 2013 and headquartered in Amsterdam, Netherlands. It provides data and insights on startups, innovation, high-growth companies, venture capital, and tech ecosystems worldwide, serving investors, corporates, governments, and ecosystem organizations.",https://dealroom.co
Ramify,Investor,15300000,$15.3M,"Series A, $11.8M, June 18, 2024","13books Capital, Fidelity International Strategic Ventures, Crédit Agricole, Newfund, AG2R LA MONDIALE",3,registrants,"Ramify is a wealth management platform founded in 2021 by Olivier Herbout and Samy Ouardini, offering a premium investment experience similar to private banks. It provides access to diversified investment products including ETFs, SCPI, private equity, structured products, life insurance, retirement savings, and art investments.",https://www.ramify.fr/
100IN,Investor,12000000,€12 million,€12 million fund launched in 2024 for 100 pre-seed investments,"Jorn Vanysacker, Gilles Mattelin, Kiko Ventures",1,registrants,"100IN is a venture capital firm focused on early-stage tech founders, providing capital and comprehensive support including strategy consulting, mentorship, and business guidance to accelerate growth and secure subsequent funding rounds.",https://www.100in.vc/
GAVU GESTION,Investor,11500000,$11.5M,"Series A, $9M, April 5, 2022","Flashpoint, Viola FinTech, Transolam, Moneta Venture Capital, North First Ventures, TAU Ventures, Leta Capital",1,registrants,"GAVU GESTION is a Belgian private limited company (Company number: 0882.520.648) established on 13 lip 2006, headquartered at Robert Schumanplein 6 bus 5, 1040 Brussel. The company operates in the asset management and investment sector.",
Epicenter Capital,Investor,5950000,$5.95M,,,1,registrants,"Epicenter Capital is a hedge fund manager based in San Francisco, CA, established in 2025. It focuses on investing in publicly listed securities worldwide and supports leaders in the entrepreneurial landscape.",https://www.epicenter.capital/
VirtualBrain,Investor,2500000,"€2.5M (Seed round, 2026)",Seed round - €2.5M (2026),,1,registrants,"VirtualBrain is a French AI platform founded in 2023 that provides secure, enterprise-grade tools for deploying AI use cases, specifically tailored for strategy teams in consulting, private equity, and investment firms.",https://www.getvirtualbrain.com/
Leto Partners,Investor,1400000,$1.4M,Seed round of $1.26M in December 2022,"50 Partners, Kima Ventures, Polymatter, Olivier Pailhes, Pierre Baptiste Bechu, Dali Kilani, Bernard Kirsch",1,registrants,"Leto Partners is a Paris-based private equity firm founded in 2023 that specializes in investing in decarbonization and the energy transition across Western Europe. The firm provides equity capital to small and medium enterprises (SMEs) that contribute to reducing carbon emissions, focusing on carbon-light technologies, energy transition enablers, and ""Grey to Green"" opportunities.",https://letopartners.com/
Deutsche Bank,Investor,570800,"$570,800,000",Post IPO debt of an unspecified amount on 2025-07-11,,1,registrants,"Deutsche Bank AG is a leading global financial services institution headquartered in Frankfurt, Germany, that was founded in 1870. It provides a comprehensive range of corporate banking, investment banking, private banking, and asset management services globally.",https://www.db.com/
Hillside Ventures Investments SA,Investor,1000,"$1,000,000","Donations of $1,000,000","University of Connecticut alumni, Donors",1,registrants,"Hillside Ventures is the University of Connecticut's premier student-run early-stage venture fund. It provides undergraduate students with hands-on, real-world experience in venture capital by allowing them to source, evaluate, and invest real capital into startups under the mentorship of seasoned professors and expert alumni.",https://hillsideventures.uconn.edu/
1st Kind,Investor,,Unknown,,Peugeot Family Group,1,registrants,"1st Kind is a European venture capital firm established by the Peugeot Family Group, investing in early-stage founders across Europe. It combines the agility of a business angel with the sophistication of a traditional fund, focusing on deeptech, industrial applications, and climate solutions.",https://www.1stkind.vc/
1st Kind by Peugeot Family,Investor,,Unknown,,Peugeot Family,1,registrants,"1st Kind by Peugeot Family is a European venture capital firm backed by the Peugeot family, focusing on early-stage investments in deeptech innovation, industrial applications, and climate solutions. Founded in 2024, it leverages over 200 years of Peugeot family industrial expertise to support visionary founders across Europe in building enduring companies for global scale.",https://www.1stkind.vc
>commit,Investor,,Unknown,,,7,"registrants,speakers",">commit is an early-stage venture capital fund focused on backing commercial open-source startups at pre-seed and seed stages. It is part of the Red River West family and operates transatlantically, investing in open source, AI, and infrastructure startups.",https://commit.fund/
Acadia Green,Investor,,Unknown,,,1,registrants,"Acadia Green is an alternative investment firm that combines the long-term perspective of a family office with the discipline of institutional investors. It focuses on sustainable infrastructure and high-moat sectors defining the next industrial revolution, aiming to drive positive impact and enduring returns.",https://acadiagreen.com/
Acquinox Capital,Investor,,Bootstrapped,,,1,registrants,"Acquinox Capital is a private equity and growth equity investment firm that connects private equity companies and private capital investors for high-growth opportunities. Founded in 2023, the firm operates at the intersection of deep sector expertise and rigorous due diligence to source, support, and scale next-generation companies across Europe and North America.",https://acquinox.capital/
ADNEXUS,Investor,,Unknown,,,1,registrants,"ADNEXUS is a venture capital firm that supports startups transforming regulated professions. The team covers the entire value chain from sourcing projects to long-term support, aiming to foster innovation in regulated sectors.",https://www.adnexus.fr
Advent,Investor,,Unknown,,,1,registrants,"Advent International is a leading global private equity firm specializing in buyouts and growth equity investments. Founded in 1984, the firm focuses on five core sectors: business and financial services, consumer, healthcare, industrial, and technology.",https://www.adventinternational.com/
Alkeon Capital,Investor,,Unknown,,,1,registrants,"Alkeon Capital Management is a global investment management firm and registered investment adviser that specializes in growth-oriented equity strategies, including long/short equity, crossover strategies, and venture capital. The firm manages over $10 billion in assets under management and maintains an active portfolio of more than 50 private companies alongside public equity holdings.",https://www.alkeoncapital.com
Alkeon Capital Management,Investor,,Unknown,,,1,speakers,"Alkeon Capital Management is a New York-based investment firm specializing in growth-oriented equity strategies, including both long-only and long-short approaches. The firm focuses on investing in transformative companies primarily within technology, healthcare, consumer, and industrial sectors.",http://alkeoncapital.com
Alkeon Capital Mgmt.,Investor,,Unknown,,,1,registrants,Alkeon Capital is a privately owned SEC-registered investment adviser that invests in the global equity markets through its long/short growth equity and venture capital innovation strategies.,https://www.alkeoncapital.com
All-In,Investor,,Unknown,,,1,speakers,"The All-In Podcast is an American business and technology podcast hosted by four venture capitalists: Chamath Palihapitiya, Jason Calacanis, David Sacks, and David Friedberg. The show delivers long-form discussions of current events, markets, technology, and public policy.",https://allin.com/
All-In Podcast,Investor,,Unknown,,,1,registrants,"All-In Podcast is a business and technology podcast hosted by four venture capitalists, delivering long-form discussions on current events, markets, technology, and public policy. It also hosts live events called the All-In Summit and has expanded into branded products like a limited release tequila.",https://allin.com/
ALSTIN Capital GmbH,Investor,,Unknown,,,1,registrants,"ALSTIN Capital is a Munich-based early-stage venture capital fund focused on investing in fast-growing B2B software and technology companies across Europe. Founded in 2011, it supports founders with capital, expertise in sales, marketing, PR, and industry contacts to help scale their businesses.",https://alstin.capital/
Amala Partners,Investor,,No funding raised (independent investment bank),,,1,registrants,"Amala Partners is an independent investment bank based in Paris, dedicated to mergers and acquisitions advisory, debt advisory, and general partner services. It primarily serves entrepreneurs and private equity investors, focusing on mid-cap and upper-mid-cap transactions across various sectors including technology, business services, and industrials.",https://www.amala-partners.com/en/
Ascot Capital Partners,Investor,,Unknown,,,1,registrants,"Ascot Capital Partners is a private investment company specializing in assisting small, entrepreneurial, and growing companies. It supports entrepreneurs by deploying capital, strategy, mentorship, new networks, and organizational support to help grow good companies into great businesses.",http://ascotcapitalpartners.com
Baillie Gifford,Investor,,Bootstrapped,,,1,registrants,"Baillie Gifford & Co is an independent, partner-owned British investment management firm founded in 1908 and headquartered in Edinburgh, Scotland. It manages and advises specialist equity, fixed income, and multi-asset portfolios for a global client base.",https://www.bailliegifford.com
Balyasny Asset Management,Investor,,Bootstrapped,,,1,registrants,"Balyasny Asset Management (BAM) is a diversified global investment management firm and multi-strategy hedge fund. Founded in 2001, the firm manages billions in assets across various financial markets, including equities, fixed income, macro strategies, commodities, and quantitative trading.",https://www.bamfunds.com
BlockAI Capital,Investor,,Unknown,,,1,registrants,BlockAI Capital is a venture capital firm that invests in breakthrough AI and blockchain technologies aimed at shaping the future of decentralized innovation.,https://www.blockaicapital.com/
Board Value,Investor,,Unknown,,,1,registrants,"Board Value is a company that partners with investment funds to structure and accelerate sustainable value creation in their portfolio companies through effective boards. They focus on precise management of fast-growing companies using key performance indicators and monitoring, aligning visions between management and financial shareholders, and optimizing board time for strategic topics.",https://www.linkedin.com/company/board-value
Bonsai Labs - The AI Transformation Company,Investor,,Unknown,,,1,registrants,"Bonsai Labs is an AI transformation company that partners with enterprises to implement AI, deliver AI automation, and provide workforce enablement. The company serves B2B software companies and private equity firms, helping them integrate AI into products, automate operations, and upskill teams.",https://bonsai-labs.com
Breakline Partners,Investor,,Bootstrapped,,,1,registrants,"Breakline Partners is a VC firm providing advisory services for growth companies on equity and debt fundraising, from preparation to closing. It also represents and supports educational content creators, helping brands produce content and partnerships on social platforms.",https://www.breakline.partners/
Brevan Howard,Investor,,"Private company, no public funding rounds disclosed",,,1,registrants,"Brevan Howard is a leading global alternative investment management firm founded in 2002, headquartered in Jersey, UK. It specializes in global macro hedge funds and digital assets, managing assets for institutional investors worldwide including sovereign wealth funds, pension plans, foundations, and endowments. The firm employs advanced technology and a rigorous institutional framework to deliver investment products.",https://www.brevanhoward.com/
Capital Fund Management,Investor,,Unknown,,,1,cxo,"Capital Fund Management (CFM) is a global quantitative and systematic asset management firm based in Paris, with staff in New York City and London. It applies a scientific approach to finance, using quantitative and systematic techniques to develop alternative investment strategies for institutional investors and financial advisers.",https://www.cfm.com
Capital Group,Investor,,"Private company, no funding rounds raised",,,3,registrants,"Capital Group is a privately owned American investment management company founded in 1931, managing over $3.4 trillion in assets. It offers a range of investment products including mutual funds, ETFs, and separately managed accounts, serving individual investors, financial intermediaries, and institutions globally.",https://www.capitalgroup.com/
Clerville Investment Management,Investor,,Unknown,,,2,registrants,"Clerville Investment Management LLP is a financial services firm headquartered in London, UK, providing investment management services. It operates as an independent multi-family office serving families, high and ultra-high net worth individuals, entrepreneurs, and foundations, with a team of 11-50 employees.",https://clerville.co.uk
D'Ornano + Co.,Investor,,Unknown,,,1,registrants,"D'Ornano + Co. is a global advisory firm that helps blue-chip private market investors, venture capital, and private equity funds understand growth and establish strong conviction when investing in new technology companies. The firm specializes in financial, legal, and ESG due diligence, pioneering a comprehensive diligence process known as Advanced Growth Intelligence (AGI).",https://dornanoandco.com/
Deep Tech Experts,Investor,,Bootstrapped,,,1,registrants,"Deep Tech Experts is a boutique advisory firm that provides 360° technical due diligence for venture capital funds and corporates, covering technology, business, and people aspects. Their experts are PhD-level specialists in AI, encryption, quantum computing, and biotechnology, helping investors and companies make informed decisions about deep tech startups.",https://www.deeptechexperts.com/
Dilation Capital,Investor,,Unknown,,,1,speakers,"Dilation Capital Management LP is a US-based hedge fund manager founded in 2019 that provides investment advisory services, portfolio management, and consulting. It invests in shares of industrial and technology companies globally.",
Edge.40,Investor,,Unknown,,,2,registrants,"Edge.40 is a venture capital firm focused on investing in early-stage startups, particularly in defence and security technologies, with a mission to protect European societies, data, and democratic values.",https://edge40.vc/
EQNX,Investor,,Unknown,,,1,registrants,"EQNX is a venture capital firm that supports early-growth stage tech companies across Europe, the US, and the Middle East. It focuses on sectors such as AI, medical devices, medical AI, energy, critical resources, and marketplaces, helping companies from Series B to IPO.",https://www.eqnx.vc/
Ericsson Ventures,Investor,,Unknown,,,1,registrants,"Ericsson Ventures is the corporate venture capital investment arm of Ericsson, a Swedish multinational networking and telecommunications company. It invests in innovative companies to drive innovation in new areas, accelerate core businesses, and generate strong financial returns.",https://www.ericsson.com
European Tech Collective,Investor,,Unknown,,,1,registrants,"European Tech Collective is a venture capital investor supporting tech startups across Europe, focusing on deep tech, artificial intelligence, and digital transformation sectors. The firm collaborates with a network of venture capital firms, angel investors, and industry leaders to provide capital, mentorship, and operational expertise to portfolio companies.",
Female in Finance Collective (FIF),Investor,,Unknown,,,1,speakers,"Female in Finance Collective (FIF Collective) is an invite-only global networking group for high-profile women leaders in finance and technology, including CFOs, VPs of Finance, and Venture Capital Partners. It offers exclusive events, educational webinars, job placement programs, and access to board seats, aiming to foster leadership, innovation, and career advancement for women in finance and tech.",https://www.fifcollective.com/
FiftySixty,Investor,,Unknown,,,2,registrants,"FiftySixty is a power-first infrastructure and technology company developing data centers and integrated energy campuses for the GPU economy. The company originates sites, secures long-term power and compute offtake, and works with compute customers, utilities, developers, and capital partners.",https://fiftysixty.com
Generation IM,Investor,,Bootstrapped,,,1,registrants,"Generation Investment Management is an independent, private, owner-managed sustainable investment management firm founded in 2004. The firm specializes in integrating sustainability research into fundamental financial and equity analysis to drive long-term investment returns.",https://www.generationim.com/
Greylock Partners,Investor,,Unknown,,,1,registrants,"Greylock Partners is one of Silicon Valley's longest-standing venture capital firms, founded in 1965. The firm specializes in early-stage investments, focusing on being the first institutional partner for exceptional founders in the consumer, enterprise software, and infrastructure sectors.",https://www.greylock.com
